_id,sessionID,stationID,spaceID,siteID,clusterID,connectionTime,disconnectTime,kWhDelivered,doneChargingTime,timezone,userID,userID,milesRequested,WhPerMile,minutesAvailable,modifiedAt,paymentRequired,requestedDeparture,kWhRequested
5c367215f9af8b4639a8f35f,1_1_193_829_2019-01-02 01:00:51.413435,1-1-193-829,AG-1F03,0001,0001,2019-01-02 01:00:51,2019-01-02 02:39:46,10.143,2019-01-02 02:39:37,America/Los_Angeles,000000362,362.0,120.0,286.0,139.0,"Wed, 02 Jan 2019 01:01:10 GMT",True,2019-01-02 03:19:51,34.32
5c367245f9af8b4639a8f360,1_1_191_789_2019-01-02 13:39:11.359003,1-1-191-789,AG-4F52,0001,0001,2019-01-02 13:39:11,2019-01-03 01:19:57,5.871,2019-01-02 15:37:12,America/Los_Angeles,000000483,483.0,29.0,350.0,435.0,"Wed, 02 Jan 2019 13:39:29 GMT",True,2019-01-02 20:54:11,10.15
5c367245f9af8b4639a8f361,1_1_178_823_2019-01-02 13:44:26.828039,1-1-178-823,AG-1F08,0001,0001,2019-01-02 13:44:27,2019-01-02 22:37:33,12.094,2019-01-02 19:18:16,America/Los_Angeles,000000406,406.0,40.0,500.0,592.0,"Wed, 02 Jan 2019 14:01:23 GMT",True,2019-01-02 23:36:27,20.0
5c367245f9af8b4639a8f362,1_1_193_829_2019-01-02 13:47:38.465648,1-1-193-829,AG-1F03,0001,0001,2019-01-02 13:47:38,2019-01-02 19:01:31,2.425,2019-01-02 15:06:07,America/Los_Angeles,000001117,1117.0,10.0,400.0,241.0,"Wed, 02 Jan 2019 13:47:44 GMT",True,2019-01-02 17:48:38,4.0
5c367245f9af8b4639a8f363,1_1_193_819_2019-01-02 13:53:40.716472,1-1-193-819,AG-1F06,0001,0001,2019-01-02 13:53:41,2019-01-02 21:40:03,14.331,2019-01-02 16:45:46,America/Los_Angeles,000000651,651.0,40.0,400.0,147.0,"Wed, 02 Jan 2019 13:53:47 GMT",True,2019-01-02 16:20:41,16.0
5c367245f9af8b4639a8f364,1_1_179_810_2019-01-02 14:01:59.476493,1-1-179-810,AG-3F30,0001,0001,2019-01-02 14:01:59,2019-01-02 20:24:34,19.742,2019-01-02 20:25:09,America/Los_Angeles,000000416,416.0,70.0,357.0,388.0,"Wed, 02 Jan 2019 14:03:00 GMT",True,2019-01-02 20:29:59,24.99
5c367245f9af8b4639a8f365,1_1_178_817_2019-01-02 14:12:35.410680,1-1-178-817,AG-1F09,0001,0001,2019-01-02 14:12:35,2019-01-02 19:38:18,28.194,2019-01-02 19:38:12,America/Los_Angeles,000000378,378.0,160.0,250.0,551.0,"Wed, 02 Jan 2019 14:20:54 GMT",True,2019-01-02 23:23:35,40.0
5c367245f9af8b4639a8f366,1_1_194_822_2019-01-02 14:24:48.630357,1-1-194-822,AG-1F12,0001,0001,2019-01-02 14:24:49,2019-01-03 00:03:22,11.026,2019-01-02 20:32:24,America/Los_Angeles,000000322,322.0,50.0,313.0,420.0,"Wed, 02 Jan 2019 14:28:41 GMT",True,2019-01-02 21:24:49,15.65
5c367245f9af8b4639a8f367,1_1_178_828_2019-01-02 14:27:15.716341,1-1-178-828,AG-1F10,0001,0001,2019-01-02 14:27:16,2019-01-02 23:28:50,15.277,2019-01-02 19:16:34,America/Los_Angeles,000000176,176.0,50.0,333.0,534.0,"Wed, 02 Jan 2019 14:27:51 GMT",True,2019-01-02 23:21:16,16.65
5c367245f9af8b4639a8f368,1_1_179_797_2019-01-02 14:28:20.046014,1-1-179-797,AG-3F23,0001,0001,2019-01-02 14:28:20,2019-01-03 01:19:44,7.463,2019-01-02 17:06:01,America/Los_Angeles,000000726,726.0,40.0,275.0,571.0,"Wed, 02 Jan 2019 14:28:36 GMT",True,2019-01-02 23:59:20,11.0
5c367245f9af8b4639a8f369,1_1_179_800_2019-01-02 14:28:42.662091,1-1-179-800,AG-3F32,0001,0001,2019-01-02 14:28:43,2019-01-02 23:01:32,0.854,2019-01-02 14:59:50,America/Los_Angeles,,,,,,,,,
5c367245f9af8b4639a8f36a,1_1_194_821_2019-01-02 14:30:12.151466,1-1-194-821,AG-1F13,0001,0001,2019-01-02 14:30:12,2019-01-03 00:29:31,17.396,2019-01-02 20:07:23,America/Los_Angeles,000000419,419.0,80.0,600.0,574.0,"Wed, 02 Jan 2019 14:30:56 GMT",True,2019-01-03 00:04:12,48.0
5c367245f9af8b4639a8f36b,1_1_193_827_2019-01-02 14:30:56.351247,1-1-193-827,AG-1F02,0001,0001,2019-01-02 14:30:56,2019-01-02 23:13:58,9.003,2019-01-02 18:43:57,America/Los_Angeles,000000169,169.0,40.0,600.0,475.0,"Wed, 02 Jan 2019 14:31:03 GMT",True,2019-01-02 22:25:56,24.0
5c367245f9af8b4639a8f36c,1_1_191_802_2019-01-02 14:36:05.980696,1-1-191-802,AG-4F44,0001,0001,2019-01-02 14:36:06,2019-01-03 00:32:43,8.962,2019-01-02 16:08:26,America/Los_Angeles,000000368,368.0,30.0,400.0,303.0,"Wed, 02 Jan 2019 14:36:11 GMT",True,2019-01-02 19:39:06,12.0
5c367245f9af8b4639a8f36d,1_1_193_820_2019-01-02 14:36:55.819216,1-1-193-820,AG-1F04,0001,0001,2019-01-02 14:36:56,2019-01-03 00:03:32,7.375,2019-01-02 20:12:01,America/Los_Angeles,000000344,344.0,30.0,400.0,284.0,"Wed, 02 Jan 2019 14:37:07 GMT",True,2019-01-02 19:20:56,12.0
5c367245f9af8b4639a8f36e,1_1_178_824_2019-01-02 14:43:58.239415,1-1-178-824,AG-1F07,0001,0001,2019-01-02 14:43:58,2019-01-03 01:00:37,11.919,2019-01-02 19:50:09,America/Los_Angeles,000000414,414.0,40.0,375.0,576.0,"Wed, 02 Jan 2019 14:45:00 GMT",True,2019-01-03 00:19:58,15.0
5c367245f9af8b4639a8f36f,1_1_193_816_2019-01-02 14:46:13.449348,1-1-193-816,AG-1F05,0001,0001,2019-01-02 14:46:13,2019-01-03 00:27:25,6.826,2019-01-02 18:56:54,America/Los_Angeles,000000409,409.0,30.0,400.0,596.0,"Wed, 02 Jan 2019 14:48:43 GMT",True,2019-01-03 00:42:13,12.0
5c367245f9af8b4639a8f370,1_1_193_825_2019-01-02 14:52:05.792140,1-1-193-825,AG-1F01,0001,0001,2019-01-02 14:52:06,2019-01-02 17:00:38,0.858,2019-01-02 17:01:28,America/Los_Angeles,,,,,,,,,
5c367245f9af8b4639a8f371,1_1_194_818_2019-01-02 14:55:02.380389,1-1-194-818,AG-1F14,0001,0001,2019-01-02 14:55:02,2019-01-02 23:30:52,0.873,2019-01-02 22:34:26,America/Los_Angeles,,,,,,,,,
5c367245f9af8b4639a8f372,1_1_179_813_2019-01-02 14:55:59.667345,1-1-179-813,AG-3F15,0001,0001,2019-01-02 14:56:00,2019-01-03 00:22:56,48.887,2019-01-02 23:11:00,America/Los_Angeles,000001283,1283.0,140.0,350.0,550.0,"Wed, 02 Jan 2019 14:56:48 GMT",True,2019-01-03 00:06:00,49.0
5c367245f9af8b4639a8f373,1_1_179_801_2019-01-02 14:59:43.809451,1-1-179-801,AG-3F21,0001,0001,2019-01-02 14:59:44,2019-01-02 23:54:09,24.431,2019-01-02 19:24:04,America/Los_Angeles,000000581,581.0,130.0,263.0,426.0,"Wed, 02 Jan 2019 15:02:23 GMT",True,2019-01-02 22:05:44,34.19
5c367245f9af8b4639a8f374,1_1_179_791_2019-01-02 15:04:24.191880,1-1-179-791,AG-3F26,0001,0001,2019-01-02 15:04:24,2019-01-03 00:43:41,12.681,2019-01-02 20:08:33,America/Los_Angeles,000000553,553.0,40.0,400.0,533.0,"Wed, 02 Jan 2019 15:05:12 GMT",True,2019-01-02 23:57:24,16.0
5c367245f9af8b4639a8f375,1_1_179_777_2019-01-02 15:06:43.141701,1-1-179-777,AG-3F28,0001,0001,2019-01-02 15:06:43,2019-01-03 00:42:47,43.989,2019-01-03 00:30:33,America/Los_Angeles,000000474,474.0,110.0,441.0,556.0,"Wed, 02 Jan 2019 15:06:47 GMT",True,2019-01-03 00:22:43,48.51
